mapudungun;espanol;ingles
neilay sueldu;no hay sueldo;There is no salary
pepiluwlu niekavuy tañi;siempre lo estan haciendo su;They are always doing their
chem piki tamün rakiduam kay peñi;que dice su pensamiento hermano;who says his thoughts brother
tfa eymün nienolu;porque ustedes no tienen;because you don't have
fülkülenolu;no se han levantado;They have not risen
fey nütramkakefimün;lo han conversado;They have talked
kay tiychi longkolelu engün;y con ese que esta de longko;And with that one of Longko
wingka longkolelu engün;o con el huinca longko;or with Huinca Longko
femkelayiñ peñi femkelayiñ;no lo hemos hecho hermano no lo hacemos;We have not done it brother we do not do it
femkelaymün;no lo han hecho;they have not done it
femkelayiñ;no lo hemos hecho;We have not made it
küme;bien;well
preukupawkelayiñ rume newe;como que no se preocupan mucho;Like they don't worry much
ka doy prewkupawkeliyiñ ta newe;y mas nos preocupa un poco mas;And more worries us a little more
fill kiñekemu kutranki;diferentes algunas veces se enferman;different sometimes they get sick
allfü rumeki che;se enferman mucho la gente;people get sick a lot
ka kiñekemu küdawmew ka ke;y algunos trabajando;and some working
chumngeafuy rume che mülefuy;que puede hacer la gente que esta;What can the people who are
tañi matu tañi;de inmediato;immediately
fey ñi pewfaluwal ka;para poder verse tambien;To be able to see yourself too
femlli may;asi es pues;That's right
no allfüle che faw kimngelafuy müten;no gente que sane heridas aca no saben no mas;Not people who heal wounds here do not know no more
kimngelay ka;no saben pues;They don't know then
püñeñmeal;van a tener una guagua;They will have a bus
kimkelafuy;sabia;I knew
kim leli rumi re allfeñmu  piviñ pi;sabe mucho de accidentes le dije dice;knows a lot about accidents I said
mongetuy nietuy ñi püñeñ;se mejoro  tuvo su guagua;I improved his bus
ni  petu nielay;todavia no tiene;It still does not
apoñkiawki wüne;bien hinchada andaban primero;well swollen they were first
ka allfüki;otra herida;Another wound
allfülefuy;estaba accidentada;I was injured
chumlenolu fey;no le paso nada;nothing happened to him
chumlenoletuy;no le paso nada;nothing happened to him
welu kuñiwüngetuy;pero tambien es peligroso;But it is also dangerous
tañi ngewetunoal;que no lo pudiera ver;I couldn't see it
fentrenke kimün peno;mucha sabiduria;a lot of wisdom
femay ka femay;asi es tambien asi es;This is how it is so
inanole ta wekeche;no continuan los jovenes;Young people do not continue
inalepalu  duamnofile;asi los de mas a tras no se van a interesar;So those from more to after they are not going to be interested
pinole tañi allkütual;sino quieren escuchar;They do not want to listen
pinole tañi adümal;sino quieren saber;They do not want to know
ta feytachi kimün;asi esta sabiduria;So this wisdom
ngewelay feychi feychi kimün;no hay de ese de esa sabiduria;There is not that of that wisdom
ka fey newe newe afay;asi tambien se va ir terminando;So you will end
duamyenolu ka ka wekeche;no se preocupan los jovenes;Do not worry young people
ta eyta kimnole;sino sabes;If you do not know
ta chem piawle rume ta;cualquier cosa va andar hablando;Anything is going to talk
feyta  puedewetulay;asi no va a poder;So you will not be able
ka kimnolu kay tati;pero sino sabe pues;But if he knows therefore
yayin pingi;arana se llama;Arana is called
günatuyu che;pica a la gente;pile people
chemu chemu kimün;como sea aprendi;Anyway I learned
katrütukimu;de apoco fui aprendiendo;I was learning
faw mongekimün;aqui me sabia mejorar;Here I knew how to improve
günatukelaymün eymün;no les han picado a ustedes;They have not bitten you
femkelay duamlatukiyiñ;no lo hacen y no aprendimos;They do not and we did not learn
fey gnatuki ka;asi muerde tambien;So also bites
chem tukulelfimün;que le colocan;They place him
re feymu günatukimün;asi por eso sabemos de las picaduras;That's why we know about the bites
re feymu müten;asi no mas entonces;So more then
langümfemi;algunos los mata altiro;Some kills them altiro
chumuechi ta kelluwi che;como se ayuda la gente;How people help
nütramkay;conversando;conversing
ta pengeluwi kümefuy ta dungu;cuando se deja ver bueno es el asunto;When it is seen good is the matter
kiñe wentru chumuechi kimi kangelu;un hombre como sabe de otro;a man as he knows about another
ka femuechi kimi ka;asi tambien sabe;So also knows
pi ta wingka;dice el huinca;Huinca says
epuñpüle kimeluwi ka;de las dos saben tambien;Of the two they know too
kimngeki;saben;They know
ntramkalay che kimlay;no conversa la gente no sabe;people don't know they don't know
kimlay;no sabe;does not know
ka welu famechi;pero asi tambien;But so
re chemuale ta kimlay;asi no va saber nada;So you won't know anything
eluwi kimün;dio lo que sabia;gave what I knew
eluwi  kimün;dejo su conocimiento;I leave your knowledge
feli peñi feli;bien hermano bien;Well brother well
eymi tüfa ka kiñeke kulliñ;tu tienen algunos animales;You have some animals
femki welu ka che doy femki;asi hacen la gente y mas lo hace;So do people and more do it
ka kiñekemu pichikeche;a a veces lo ninos;Sometimes children
ptakeche rume ta niyi feychi kutran;los adultos tinen esa enfermedad;Adults tinen that disease
chumuelu chi konki;por que estrara esa;Why will that
feytichi kutran peñi;esa enfermedad hermano;That brother disease
fawpüle mülepelay;por aca no esta;here is not
ka ngüfüllün pingi tüfi;tambien se tapa la nariz que le llaman esta;You also cover your nose they call this
chumuelu chi femki che peñi;por que haran asi esos hermanos;Why will those brothers do so
wütremu aremu kam;por el frio o por el calor;for cold or heat
wütremu peñi  wütre;por el frio hermano el frio;For the cold brother the cold
pütakeche kay wütre rume rumeñma;los viejos cuando pasan frio y mucho frio;The old when they go cold and a lot of cold
wütrelu fey femki pingeki;lo que pasan frio eso le pasan dicen;What happens cold that happens to him
chemki piam;asi ocurre se dice;This is the case
peñi feyti feytichi ngüfüllün;hermano ese asi cuando se le tapa la nariz;brother that like this when his nose is covered
chem lawen tukefimün faw;que remedio le colocan aca;what remedy they place here
kam yekimün pitalmu;o lo llevan al hospital;or take him to the hospital
opital ta  yengeki ka;hospital se lleva tambien;Hospital also takes
müli kay;y hay;And there is
müli lawen kay;tambien hay remedio;There is also remedy
palu pichi engu cilantro;un poco de palu con cilantro;A little palu with coriander
kümi ngüfüllünmu;es bueno cuando se tapa la nariz;It's good when your nose is covered
feymuy ka;esos tambien;those too
kiñe kutran ka müli peñi;una enfermedad que hay hermano;A disease that is brother
pepi neyikelay che tamu;no hay gente que sepa por aca;No people who know here
warülkevuy iñ pel tamu;le canta la garganta aca;Sing his throat here
chumuelu chi konki;como le entra;As it enters
kansan reke;como sansado;Like Sansado
chem chem chi pel müten pe;esta cosa es de la garganta no mas;This thing is from the throat no more
kam ta chem ki kansaki ürke;o de mucho cansancio;or much tired
tachi ngarülki pel ka;asi como que se le tapa la garganta tambien;as well as the throat is covered too
ngarülki;se le tapa;You cover
femuechi;asi es;that's how it is
welu fawple weli che allfüy;pero por aca la gente nueva se accidenta;But here the new people are accidious
feyta müli lawen filu;y hay remedio de culebra;And there is a snake remedy
feychi müli tati;asi es hay pues;so there is therefore
müli tati müli;hay pues hay;There is therefore
allfengeal;se accidentan;They are accidentded
tati areglakelu chi  esa  safaura;arreglan pues esa safadura;They arrange that safadura
fey müli;asi hay pues;So there is
kidu mongeltuy;solo se mejoro;I only improve
kidu mongeltuy kidu;solo se mejoro solo;I only better improve
femuechi  re nütram;asi pura conversacion;Thus pure conversation
romatimu tripaki kay fawpüle;el reumatismo sale tambien por aca;Rheumatism also comes out of here
chumuelu tripaki;como sale;As it comes out
kam müli ti lawen;y hay remedio;And there is remedy
kam ngelay chi lawen;o no hay ese remedio;or there is no remedy
tami chaw petu mongeli;tu padre todavia esta vivo;Your father is still alive
petu mongeli;todavia vive;still lives
fey küntrongevuy ka fey romatimo;y es enfermizo tambien de reumatismo;And he is also sick of rheumatism
tunten tripantu dewma;cuantos anos hace;How many years ago
nievuy tami püta chaw;que tiene tu gran padre;your great father has
aylla mari tripantu;noventa anos;ninety years
feychi kutran müten innekiyu;esa enfermedad no mas lo mantiene;That disease no more keeps it
feychi kutran müten tuy;esa enfermedad no mas tiene;That disease has no more
kiñekemu doy tukeyu;algunas veces mas le entra;Sometimes more enters
doy jodekiyu ka;mas jodido lo tiene tambien;more screwed it too
kiñekemu ka femnkünutukeyu ka;algunas veces tambien lo deja si tambien;Sometimes it also leaves it if too
feyta chumlekelay ka;pero asi no hace nada tambien;But so does nothing too
wütremu;por el frio;by the cold
wütremu doyelki ka;por el frio se jode tambien;For the cold it fucks too
pukem ka;tambien el invierno;Also winter
kavallutuyawki müten;anda de a caballo no mas;walk no more
fey peno doyelkünukiyu ka;asi eso lo debe dejar pero tambien;That's what should be left but too
feypüle ka feypüle;por alla tambien por alla;Alla also by there
kom nfxxxcom va inalu rüpa;cerca pasaron la gente;people went close
ta akuki che tayi puliwen;llegaron la gente denante en la manana;people arrived in the morning
epu kavallu che amutuy  elpüratuki;en dos caballos se van;In two horses they leave
kawallu tuyawi che;anda de a caballo la gente;Walking people
ta doy wechalkafiyu;se hace peor;It becomes worse
ka  eymi trüfnagkelaymi;y tu no te has caido;And you haven't fallen
kawellumu peñi;del caballo hermano;of the brother horse
ta  allfükelaymi rume;no te haz accidentado mucho;Do not make you injured much
küme ta;es bueno esto;This is good
wechakünuki ta che;queda mal la gente;people look bad
ta  allfüyem peñi;se accidentan hermano;Brother are accidentded
feyta inche  alün nütram;asi yo harto he conversado;So I have talked
ta nütramiyu tati;nuestra conversacion;our conversation
inche ta  ka mapu che;yo soy gente de otra tierra;I am people from another land
kimuwiyu tati peñi;nos conocimos hermano;We met brother
feyta inche mañumneyu tami nütrammew;asi que yo te agradezco tu conversacion;So I thank you for your conversation
ka tami rukamu kimpayu tati;y tambien tu casa vine a conocer pues;And also your house came to know then
fey ka pewliyu ta kimuwayu tati peñi;asi tambien nos veremos nos conoceremos pues hermano;So we'll see each other, we will know each other because brother
feli tati peñi;bien pues hermano;Well, brother
inche ka vey ka mañumuwkelam che;yo tambien te agradeco;I also thank you
traftun mapuchewen;hemos controversiado entre mapuche;We have controversial between Mapuche
ka epuñpüle nütramkawiyu tati;por los dos lados nos conversamos pues;On both sides we talk then
eymi niyimi kimün;tu tienes sabiduria;You have wisdom
inche ka nien kimün;y yo tambien tengo sabiduria;And I also have wisdom
feyta ngepakelaymi tati;asi no venias pues;So you didn't come
tüfey kali ta kimün tati;este es otra sabiduria pues;This is another wisdom because
kake lofmu;es otra comunidad;It is another community
welu iñchiñ tañi nütramkawpen;pero nosotros nuestra conversacion;But we our conversation
feyta epuñpüle;asi por los dos lados;So on both sides
epuñpüle mañumuayu;los dos estaremos agradecidos;We will be grateful
kmey tati peñi;bien pues hermano;Well, brother
kimuwküleliyu rumel chem dungu rume;hemos aprendido los dos de muchas cosas;We have learned both of many things
feli pu peñi feli;asi es pues hermano asi es;This is how brother is like
epuñpüle chew rume pewliyu;en las dos partes donde los veamos;In the two parts where we see them
waria rume pewliyu;en la cuidad si nos vemos;In the care if we see each other
müli ñi mankulual;tenemos que pasarnos la mano;We have to pass our hand
fey ka müten;eso no mas;That no more
ka fey tüfa;tambien esto;that too
doy kimuweyu tati peñi;mas nos conocemos hermano;more we know each other brother
tüfa ngoymatuavuy kay tati;esto no creo que se le olvide pues;I don't think this is then forgotten
feli;asi es;that's how it is
filu feyti anta pütokoal kam lapomam;ese remedio de culebra es para beber o para masajear;That snake remedy is to drink or to massage
fey ñi chemngeam fey ñi elungeam kom ñi;eso es para tratarlo para darle todo;That is to treat it to give everything
üluam itrofill;para sobar de todo;To rub from everything
lapom lapom ñi kuerpu;para fletar fletar el cuerpo;To charter the body
itrokom ñi rüngal chi lawenmu;para resfregar por todas partes con ese remedio;To resume everywhere with that remedy
ka wichi elungi pütokoal chem lawen;tambien a parte le dan para tomar un remedio;They also give him part to take a remedy
ñi chemal müley;debe hacerlo solamente;You must do it only
mülepi lawen pütokoam ti ka;tambien habra remedio para que beba;there will also be remedy to drink
chem pingefuy peñi ti;como se llama eso hermano;What's the name of that brother
lig kutrankülelu ti ka llifulawen;cuando esta con fiebre tambien ese llifulahuen;When is that llifulahuen also fever
ka ti tifu lawen kümey ta;tambien es un buen remedio para la tifus;It is also a good remedy for typhus
feyti chem kiñe medika ramtufiñ inche am;eso yo le pregunte a una medica;I ask that a doctor
siepre miawkelu medikamu;si siempre andaba en la medica;If I always walked in the doctor
machi kiñekiñe feyta machi;la machi algunas veces esta machi;The Machi is sometimes Machi
ta rüf konli piuke chi ta machi feypifi;la machi que llega al corazon le dijo;The Machi who arrives at the heart told him
küme cancer;buen para el  cancer;good for cancer
kom chemenu ka;todo me trato tambien;Everything treatment me too
yelmefiñ füta kamapu lawen;le fui a buscar a otro lugar el remedio;I went to look for the remedy to another place
fey feychi lawen küpalan chau;de ese remedio me vas a traer padre;You are going to bring me a father of that remedy
füta kamapu miaukerkeymi;por grandes lugares anduviste;For great places you walked
kom  piafiñ;todo le voy a decir;I'm going to tell you all
feymu kellun matetun;asi ayude a servir mate;so help serve mate
feymu kidulelu;asi cuando estaba sola;So when I was alone
tripaymuy komantü;salio todo el dia;came out all day
fey chemu kümey tüfachi lawen papay;y para que es bueno este remedio mamita;And so that this Mamita Remedy is good
fey yelmey tati pifiñ;que fui a buscar pues le dije;that I went to look for because I told him
pero inche welu feychi lawen;pero yo ese remedio;But I that remedy
katrütukefiñ afken küdawün rosenmu;lo cortaba todo el tiempo que trabaje en roce;I cut it all the time I worked in friction
füta lawenürkefel kimnofilu am inche;era un gran remedio pero como no lo conocia yo;It was a great remedy but since I did not know him
kiduley tati inche;yo estoy solo;I'm alone
küpalün lawen;traje remedio;remedy suit
füta perden;perdi harto;I lost fed up
füta kamapu;es muy lejos;is far away
fey entueteungeki tati;por eso no me saquen pues;That's why they don't get me well
welu chumngeafuy papay;pero que se le puede hacer mamita;But that you can make mommy
kutranli küpali mülefuy ñi elual tati;si me enfermo y vengo debe darme pues;If I get sick and come to give me then
mongean;voy a vivir;I'm going to live
chemu kümi tüfa tüfachi lawen;para que es bueno este remedio;so that this remedy is good
tüfa tüfachi lawen tati;este este remedio pues;This this remedy then
kay feytichi tripakelu antü;tambien ese que sale en el dia;also the one that comes out on the day
forokechinga  iki;como muela se come;As Muela is eaten
famuelu ikinga fey we aylla peno;de estos un nuevo nueve sera;of these a new nine will be
kom elupafiñ;todo le vine a dar;Everything came to give
feymu fey ya tunten lawen meli;por eso ya cuanto remedio cuatro;That is why and how much remedy four
feychi po feychi kay;ese pues ese pues;that then
ka feychi raral;tambien radal;Also radal
ka feychi chullüm;tambien ese chillim;Also that chillim
chullüm kimfimi kay;conoce el chillim;Know the Chillim
famuechi mapumu amuamuki;de este tipo de tierra va;of this type of earth goes
tomatekechili ñi fün;su semilla se parece al tomate;Your seed resemble tomatoes
ka fütra lawen fey;tambien es un gran remedio ese;It is also a great remedy that
llifkutranmu;para la enfermedad de la vejiga;For bladder disease
domo wechengey;cuando la mujer es joven;When the woman is young
feychi lawen fütra lawen;ese es un gran remedio;That is a great remedy
feymu ka feychi chi mapu amukey nga;por eso en esa tierra va;That is why in that land goes
ñi chem ngeñken pikelay ama;es frutilla no le dicen acaso;is strawberry, they don't tell him
chi mapuchenga ngeñken rüf mutilla pi ta;el mapuche frutilla es la verdadera frutilla dice;The Frutilla Mapuche is the true strawberry
fu fru frutilla pi ta wingka;frutilla dice el huinca;Frutilla says the Huinca
ah  frutilla;ah frutilla;Ah straw
silvetre fey ka feyürke;silvestre eso tambien;Silvestre that too
meli trapomi;cuatro se junta;Four meets
meli meli trapomi;cuatro cuatro se junta;Four four meet
feyti llifdu kutran;para esa enfermedad de la vejiga;For that bladder disease
kümerki feychi lawen;es bueno ese remedio;That remedy is good
llif;para la vejiga;For the bladder
llifdu kutranmu llifdu;para la enfermedad de la vejiga;For bladder disease
vejia pi ta wingka;vejiga dice el huinca;Bladder says Huinca
kutranlu ñi vejia fey kümey;cuando se enferma de la vejiga eso es bueno;When he gets sick from the bladder that is good
fey feymu kom feypi chi machi;para todo eso dijo la machi;For all that said the Machi
kay;tambien;too
raral;radal;RADAL
üyiw;alla;there
ta chem chüllüm;ese chullem;That chullem
chüllüm;chullem;Chullem
frutilla pi che mapuche chem pingi llifchi;frutilla dice la gente como se llama frutilla;Frutilla says people what's called strawberry
may frutilla;si frutilla;If strawberry
ngeñken piluama  mapuche;frutilla le dice el mapuche;Frutilla tells him the Mapuche
ngeñken pilu trokifiñ;frutilla le dicen creo;strawberry I think I think
pellawen pingelay;pellahuen no se llama;pellahuen is not called
pellawen;pellahuen;Pellahuen
ngeñken feychi;eso es genquen;That's genquen
ngeñken;genquen;Genquen
feychi chem mapuam amulu;eso que va en la tierra;what goes on earth
meli tati meli;cuatro pues cuatro;four as four
fey kümerki kutranyem;eso es bueno cuando se esta enfermo;That's good when he is sick
may llufdu kutran;si para la enfermedad de la vejiga;If for bladder disease
llufdu kutran;enfermedad de la vejiga;bladder disease
vejia pi wingka;vejiga dice el huinca;Bladder says Huinca
may vejia;si vejiga;Yes bladder
rume kümey chau piengu;es muy bueno padre me dijo;It's very good father told me
rume kümi pi;es muy bueno me dijo;It's very good told me
feymu ta fütra lawenürke tati;por eso es un gran remedio pues;That is why it is a great remedy then
feychi lawen preparangelu welu ka;ese remedio al prepararlo pero tambien;That remedy when preparing it but too
ka kidu puede ka ko müli ñi preparayal  ka che;tambien solo no se puede debe prepararlo con agua la gente;Also you just can't prepare people with water
fey pudelay ñi prepayal;no podria prepararlo;I could not prepare it
kangelu chi;otro si;another yes
chumueli chi feley tüfi;por que sera que eso esta asi;because it will be that like this
kümelay piken chumngen ka;no es bueno dicen por que;It is not good say why
mülepi chem ka;sera por algo;It will be for something
kimün;sabiduria;wisdom
feytichi yemelu lawen;ese que va a buscar el remedio;The one who will look for the remedy
kümelay ti deumal ka;tambien no es bueno que lo prepare;It is also not good that I prepare it
ka küwü müli dewmayal prepayal feychi lawen;otra mano debe preparar ese remedio;Another hand must prepare that remedy
müna küme fütrake kimün nierkefuy ta taiñ küpalme;que grandes sabidurias tenian nuestros sabios;What great wisdoms had our sages
inchiñ tüfey peñi;nosotros eso hermano;We brother
inchiñ tüfa wengeche we che inchiñ;nosotros ahora somos jovenes nosotros;We are now young
kimwetulaiñ tüfey chi kimün ka;no conocemos esa sabiduria tambien;We don't know that wisdom too
eymi kimparkimi ta tüfey;usted vino a conocer eso pues;You came to know that then
newechumül inche ngemen;yo no hace mucho tiempo fui;I didn't have been
benardo ñi lamuenmu;donde la hermana de bernardo;Where Bernardo's sister
feymu fey ramtufiñ chi amuy wingkulmu;entonces ahi le pregunte si fue al cerro;So there asked him if he went to the hill
feymu anta fütra wingkulmu almorsapaymi pienu;no es asi acaso que en el gran cerro viniste almorzar me dijo;It's not like that in the great hill I came lunch told me
feymu anün fütra winkulmu;por eso fui al gran cerro;That's why I went to the great hill
feymu tukupafiñ longko may rakiduamün;ahi recorde en mi cabeza reflexione;There I remember in my head reflect
fey tüfa mülepelay lawen;por aqui no habra remedio;There will be no remedy
tüfa pin rakiduam peñi;dije en mi pensamiento hermano;I said in my thought brother
ñi pichi domo amuy;mi nina chica va a ir;My girl is going to go
ko piukelawen müley papay müley;en el  agua hay de remedio del corazon mamita;In the water there is a heart remedy Mamita
feyta ta piuke lawen pienu;este es el remedio del corazon me dijo;This is the heart remedy told me
feymu inafüll lapali küpaltun;entonces a la orilla lo traje;Then I brought it to the shore
fey preparan kiñe;ahi prepare uno;there prepare one
üyiw üyiw labranza nien;alla alla en labranza tengo;there I have
feychi veronica kude tañi ñuke;la mama de la vieja veronica;The old Veronica breast
fey preparay;ella preparo;she prepared
ka kiñe pichi fotella fante nien;por eso tengo una botella de este porte;That's why I have a bottle of this bearing
kiñekemu wichampürami;algunas veces se lo bebe de viaje;Sometimes you drink it on a trip
pütokofiñ ka kiñe lawen;bebi tambien un  remedio;I also drink a remedy
pepun ka;que enconentre tambien;that enconentre too
ka ramtufiñ tüfa ka amulu;tambien le pregunte por esto cuando volvi a ir;I also asked this when I went back
re ramtunien lawen;iba puro preguntando remedio;I was pure asking remedy
fentre küpalan lawen;traje harto remedio;Fed remedy suit
chi ñi nial preparaukülen lawenmu;de tener para  estar preparado con remedio;to have to be prepared with remedy
chumi rume che;lo que le pase a la gente;What happens to people
chem rume müli;hay cualquier cosa;There is anything
ka müli entonce;tambien hay entonces;There is also then
feychi küpaletuiñ;esa vez nos veniamos;That time we come
feymu ramtuntuniekan tüfa;entonces iba preguntando esto;Then I was asking this
chem lawen am kümi;que remedio es bueno;What remedy is good
allfeñ mülepelafuy tüfa;cuando suele haber herida;When there is usually injured
füta mawün mülepelay;gran lluvia debe haber;Great rain must have
müli pienu;hay me dijo;There was told me
feyta pepeayu peñi küpali;ahi lo voy a ver hermano si vengo;There I'm going to see brother if I come
machakauramu pi;para la machucadura dijo;For the machucadura he said
feymu inche fey yesan pi;por eso yo ahi me enterre dijo;That's why I buried me he said
chakayngerki;era una espina de chacay;It was a chacay spine
fey ah;eso ah;That ah
feyta yemeafiñ;este lo voy a ir a buscar;I will go looking for this
atrutruyngi;queda aspera;It is rough
atrutruyngerke  ñi küwü;quedo aspera mi mano;I stay my hand
atrutruytuy;se quedo aspera;I stayed aspera
famechi chem müli;para esto hay;For this there is
fey yemean pilen;voy a ir a buscar dijo;I'm going to search
feytichi piukelawen anta kachu lawen;ese remedio para el corazon es remedio de pasto;That remedy for the heart is grass remedy
fey;eso;that
famuechi menasamuy mapumu;asi va extendido en la tierra;This is extended on Earth
metarupay tañi tapül;pasa en brazo sus hojas;passes in arm its leaves
trinkürküley tañi tapül;disueltas estan sus hojas;dissolved are their leaves
piukelawen niy;tiene el remedio del corazon;has the heart remedy
piukelawen;remedio del corazon;Heart Remedy
kutranenmu kutran piukenmu kümi;para la enfermedad del corazon es bueno;For heart disease it is good
kutranley piuke che;cuando esta enfermo del corazon la gente;When people are sick from the heart
müli putual;debe beber;You must drink
müli ñi putual;debe beber;You must drink
fey kay tüfi tapül kümi kam folil;y de eso es buena la hoja o la raiz;And that is good the sheet or the root
kom folil tañi wadkümal;toda la raiz se hierve;All the root is boiled
tapül kay fey;la hoja tambien;The sheet too
rume kümerki piuke kutranmu;es muy bueno para el dolor del corazon;It is very good for heart pain
may kümi;si es bueno;If it is good
piukelawen pingi;remedio para el corazon se llama;remedy for the heart is called
piuke;corazon;heart
inchiñ am tüfa nienolu kuyfikekimün;nosotros ahora no tenemos sabidurias antiguas;We now do not have ancient wisdoms
feymu ta kimlafiñ lawen tati peñi;por eso no conocemos los remedios pues hermano;That is why we do not know the remedies because brother
feymu nütramkapeyu;por eso le he conversado;That's why I have talked
eymi unetrekaleluam;usted va caminando primero;You walk first
fey malpeyu ta tüfey;por eso he recurrido a usted;That's why I've turned to you
fentren witran lawen inche am;yo he levantado harto remedio;I have raised fed remedy
kompüle aukakefun machimu;por todas partes visitaba las machi;Everywhere I visited the Machi
nütramkaken fey;le converso a ella;I convert her to her
fey ñi adum che ramtuy feyta chemngelay;ella cuando le preguntaba no decia nada;She when I asked her, she didn't say anything
kimi;sabe;knows
afkentu inche ñi domo kutrani;por mucho tiempo mi mujer se enfermo;For a long time my wife gets sick
feymu fey kutran kutrantuy fey;entonces de esa enfermedad se enfermo ella;So of that disease she gets sick
fey fentren püñeñamnielu;tenia hartos hijos;I was fed up children
kiñe aylla akufuy;unos nueve habian llegado;About nine had arrived
kiñe perdi;uno se murio;One died
feyta püra montuyngün;ahi se salvaron ocho;there were saved eight
fey mongey;ellos vivieron;they lived
kom mongelingün;todos estan vivos;All are alive
machimu tukufiñ;la coloque donde la machi;place it where the machi
feymu fey chemün;por eso me pregunte;That's why I ask me
feyta ramtuntukun;y solia estar preguntando;And I used to be asking
chem am kümepeafuy pin;que seria bueno dije;What would be good I said
ka feytamu nietuy lawen tati;tambien aqui tiene remedio pues;Here is also remedy then
feytamu müli feyti notru pingi;en esta parte hay ese notro que le llaman;In this part there is that notro that they call it
feytamu niy tati;aqui tiene pues;Here is then
notru;notro;notro
müli ta  kutran feyta ka fütra lawen;cuando hay enfermedad este es un gran remedio;When there is disease this is a great remedy
tapül rayen;hoja  flor;Flower
feyti rayen;esa flor;that flower
rayen notru;flor de notro;notro flower
nochi kutranmu notru;cuando recien se esta enfermando el notro;When the notro is recently getting sick
sinteria pingi nga wingka;cinteria le dice el huinca;Cinteria tells him the Huinca
ngollikey kutran fey;marea esa enfermedad;Tide that disease
fey feyta fütra lawen fey;para esto ese es un gran remedio;For this that is a great remedy
wadkümngi pütokongi;se hierve y se bebe;get boiled and drink
feyta rume fütra lawen;este es un muy gran remedio;This is a very great remedy
feymu fey ramtuntukunien;por eso solia preguntar;That's why I used to ask
pichike rumekechili nga;son chicos se ven chicos;They are boys look guys
pichike fantekey chem pingi nga rumekechi pitiki;de este porte chico son dijo son muy chicos;They are very small from this small bearing
ka chemu am ka fey lawennieyu ka;por que otra cosa es que tenemos remedios;Why is another thing that we have remedies
feyti mutrulawen kimfimi kay;ese mutrulahuen  lo conoces;You know that mutulahuen
mutrulawen ka fey ka kümey;el mutrulahuen tambien es bueno;Mutulahuen is also good
mütrulawen;mutrulahuen;Mutulahuen
mutrun mutrunlawen;mutrun mutrunlahuen;Mutrun Mutrunlahuen
mutrunlawen;mutrunlahuen;Mutrunlahuen
feyti;ese;that
füyfüyki füyfüy füyfüy füyfüy kimfimi kay;fuifui fuifui fuifui lo conoces tambien;Fuifui Fuifui Fuifui you know him too
ka feychi mutrun am füyfüy;tambien ese mutrun es fuifui;That mutrun is also Fuifui
feymu fey fey trapumelafimi pingi;por eso los vas a juntar le dijeron;That's why you're going to get together, they told him
kutrani ñi domo;se enfermo mi mujer;My wife gets sick
chemchi pichiche reke yafi ñi pütra pi;de a poco se calmo mi estomago dijo;Little by little my stomach said
no feymu fey kintun;no por eso le busque;Not for that reason looking for him
kiñtufiñ feyti ngalaungalau;le busque ese galaugalau;Look for that galaugalau
kiñtufiñ chi mutrunlawen;le busque ese mutrunlahuen;Look for that mutrunlahuen
ka kintufiñ chi maymaylikan;tambien le busque ese maimailican;I also look for that maimailican
ka kintufiñ chi añirüngi;tambien le busque ese anirigi;I also look for that Anirigi
chem tüfi;que es eso;what is that
añirüngi rüngi rüngi;aniringui ringui ringui;Aniringui Ringui Ringui
femechi fantekechi ngi folil;asi de este porte es su raiz;So this is your root
meli trürumün;cuatro junte;Four together
inche fey inche kidu tranalfiñ domo;yo solo le machaque a la mujer;I just machaize the woman
femuechi pikunufi kom putufi;de esta forma le dije se lo bebio todo;In this way I told him I drink everything
putuy;bebio;Baby
feymu fey putulu fey;entonces despues que se lo tomo;then after I took it
tranakünumi ti kawitumu pi;me voy votar a la cama dijo;I'm going to vote for bed
rume yafüy;era muy duro;It was very hard
mamüll ka müten;como palo no mas;as a stick no more
feymu fey famechi mlonmafiñ;entonces de esa forma la salve;so that way the save
fey yemetun ñi pichi wentru;ahi fui a buscar a mi nino chico;There I went to look for my boy boy
fey tüfa fey kurengetuy;este ya tiene su esposa;He already has his wife
ya küpatunge;ya vente;come already
mama ta kutrani;mama esta enferma;Mama is sick
küpatue pien;que se venga me dijo;Let it come told me
feymu fey küme chemerki chi lawen;entonces ahi le hizo bien ese remedio;So that remedy did well
kümekünueyu;la dejo bien;I leave it well
koy koreyu fey ñio re mollfüñ reke trukoulu;ahi le corrio era como pura sangre apelotonada;There I ran was like pure bullshit blood
feymu ta pekan pekan chumleymu ta che;por eso en vanoen vano no puede estar la gente;That is why in vain people cannot be
kimnolu ta lawen;el que no conoce remedio;The one who knows no remedy
feymu ta mapu lawen;por eso es que el remedio de la tierra;That is why the Earth's remedy
ta rume küme fütra lawen;es un gran buen remedio;It is a great remedy
korey fatrey tüfachi feyta;le corrio se;I correct it
may pichi tami nünuchi makina tati;si de tu maquina chica pues;If your small machine then
sourepartoerkefuy;era sobre parto;It was about childbirth
mapulawenturkefuy;se hizo remedio de la tierra;Earth remedy was made
mapulawen fey elufiñ fey koreleyu;remedio de la tierra le di asi le corrio;Earth remedy gave him so I correct him
fey dapulmün feyti mutrun lawen;ahi busque ese mutrunlahuen;there looking for that mutrunlahuen
mutrunlawen füyfüy füyfüy;mutrunlahuen fuifui fuifui;Mutrunlahuen Fuifui Fuifui
